
Dos 934 pacotes recebidos:
Pacote #506 <0> OK
Pacote #507 <0> OK
Pacote #508 <0> OK
Pacote #509 <0> OK
Pacote #510 <2> Perdido
Pacote #511 <2> Perdido
Pacote #512 <2> Perdido
Pacote #513 <2> Perdido
Pacote #514 <2> Perdido
Pacote #515 <2> Perdido
Pacote #516 <2> Perdido
Pacote #517 <2> Perdido
Pacote #518 <2> Perdido
Pacote #519 <2> Perdido
Pacote #520 <2> Perdido
Pacote #521 <2> Perdido
Pacote #522 <2> Perdido
Pacote #523 <2> Perdido
Pacote #524 <2> Perdido
Pacote #525 <2> Perdido
Pacote #526 <2> Perdido
Pacote #527 <2> Perdido
Pacote #528 <2> Perdido
Pacote #529 <2> Perdido
Pacote #530 <2> Perdido
Pacote #531 <2> Perdido
Pacote #532 <2> Perdido
Pacote #533 <2> Perdido
Pacote #534 <2> Perdido
Pacote #535 <2> Perdido
Pacote #536 <2> Perdido
Pacote #537 <2> Perdido
Pacote #538 <2> Perdido
Pacote #539 <2> Perdido
Pacote #540 <2> Perdido
Pacote #541 <2> Perdido
Pacote #542 <2> Perdido
Pacote #543 <2> Perdido
Pacote #544 <2> Perdido
Pacote #545 <2> Perdido
Pacote #546 <2> Perdido
Pacote #547 <2> Perdido
Pacote #548 <2> Perdido
Pacote #549 <2> Perdido
Pacote #550 <2> Perdido
Pacote #551 <2> Perdido
Pacote #552 <2> Perdido
Pacote #553 <2> Perdido
Pacote #554 <2> Perdido
Pacote #555 <2> Perdido
Pacote #556 <2> Perdido
Pacote #557 <2> Perdido
Pacote #558 <2> Perdido
Pacote #559 <2> Perdido
Pacote #560 <3> Fora de ordem adiantado: pulou [74] pacotes
Pacote #561 <0> OK
Pacote #562 <0> OK
Pacote #563 <0> OK
Pacote #564 <0> OK
Pacote #565 <3> Fora de ordem adiantado: pulou [71] pacotes
Pacote #566 <0> OK
Pacote #567 <0> OK
Pacote #568 <0> OK
Pacote #569 <0> OK
Pacote #570 <0> OK
Pacote #571 <0> OK
Pacote #572 <0> OK
Pacote #573 <0> OK
Pacote #574 <0> OK
Pacote #575 <0> OK
Pacote #576 <3> Fora de ordem adiantado: pulou [74] pacotes
Pacote #577 <0> OK
Pacote #578 <0> OK
Pacote #579 <0> OK
Pacote #580 <0> OK
Pacote #581 <0> OK
Pacote #582 <0> OK
Pacote #583 <0> OK
Pacote #584 <0> OK
Pacote #585 <0> OK
Pacote #586 <0> OK
Pacote #587 <0> OK
Pacote #588 <0> OK
Pacote #589 <0> OK
Pacote #590 <0> OK
Pacote #591 <0> OK
Pacote #592 <0> OK
Pacote #593 <0> OK
Pacote #594 <0> OK
Pacote #595 <0> OK
Pacote #596 <0> OK
Pacote #597 <0> OK
Pacote #598 <0> OK
Pacote #599 <0> OK
Pacote #600 <0> OK
Pacote #601 <0> OK
Pacote #602 <0> OK
